"importId";"year";"date";"eventsPlanning.importId";"description"
1;2022;"2022-01-01";1;"Jour de l'An"
2;2022;"2022-04-18";1;"L. de Pâques"
3;2022;"2022-05-01";1;"Fête du travail"
4;2022;"2022-05-08";1;"Victoire 1945"
5;2022;"2022-05-26";1;"Ascension"
6;2022;"2022-06-01";1;"Lundi de Pentecôte"
7;2022;"2022-07-14";1;"Fête nationale"
8;2022;"2022-08-15";1;"Assomption"
9;2022;"2022-11-01";1;"Toussaint"
10;2022;"2022-11-11";1;"Armistice 1918"
11;2022;"2022-12-25";1;"Noël"
12;2023;"2023-01-01";1;"Jour de l'An"
13;2023;"2023-04-10";1;"L. de Pâques"
14;2023;"2023-05-01";1;"Fête du travail"
15;2023;"2023-05-08";1;"Victoire 1945"
16;2023;"2023-05-18";1;"Ascension"
17;2023;"2023-05-29";1;"Lundi de Pentecôte"
18;2023;"2023-07-14";1;"Fête nationale"
19;2023;"2023-08-15";1;"Assomption"
20;2023;"2023-11-01";1;"Toussaint"
21;2023;"2023-11-11";1;"Armistice 1918"
22;2023;"2023-12-25";1;"Noël"
23;2024;"2024-01-01";1;"Jour de l'An"
24;2024;"2024-04-01";1;"L. de Pâques"
25;2024;"2024-05-01";1;"Fête du travail"
26;2024;"2024-05-08";1;"Victoire 1945"
27;2024;"2024-05-09";1;"Ascension"
28;2024;"2024-05-20";1;"Lundi de Pentecôte"
29;2024;"2024-07-14";1;"Fête nationale"
30;2024;"2024-08-15";1;"Assomption"
31;2024;"2024-11-01";1;"Toussaint"
32;2024;"2024-11-11";1;"Armistice 1918"
33;2024;"2024-12-25";1;"Noël"
34;2025;"2025-01-01";1;"Jour de l'An"
35;2025;"2025-04-21";1;"L. de Pâques"
36;2025;"2025-05-01";1;"Fête du travail"
37;2025;"2025-05-08";1;"Victoire 1945"
38;2025;"2025-05-29";1;"Ascension"
39;2025;"2025-06-09";1;"Lundi de Pentecôte"
40;2025;"2025-07-14";1;"Fête nationale"
41;2025;"2025-08-15";1;"Assomption"
42;2025;"2025-11-01";1;"Toussaint"
43;2025;"2025-11-11";1;"Armistice 1918"
44;2025;"2025-12-25";1;"Noël"
